element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,2,"=""3049.587""","=""1.8e+07""","=""3.7e-02""",C,"=""24.601624""","=""28.66723""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).5f""","=""4F""","=""5/2""",,
C,2,"=""3049.819""","=""4.55e+07""","=""8.46e-02""",C+,"=""24.602961""","=""28.668257""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""2F""","=""7/2""",,
C,2,"=""3050.285""","=""4.2e+07""","=""8.8e-02""",C,"=""24.601624""","=""28.666300""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).5f""","=""2F""","=""5/2""",,
C,2,"=""3050.560""","=""1.7e+07""","=""3.2e-02""",C,"=""24.602961""","=""28.667271""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4F""","=""7/2""",,
C,2,"=""3058.05""","=""1.2e+07""","=""8.1e-03""",C,"=""24.656151""","=""28.71051""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).5f""","=""4D""","=""1/2""",,
C,2,"=""3059.33""","=""5.7e+07""","=""8.0e-02""",C,"=""24.657857""","=""28.71051""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).5f""","=""4D""","=""1/2""",,
C,2,"=""3059.42""","=""3.2e+07""","=""4.4e-02""",C,"=""24.656151""","=""28.70869""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).5f""","=""4D""","=""3/2""",,
C,2,"=""3059.988""","=""6.74e+07""","=""1.26e-01""",C+,"=""24.653514""","=""28.705301""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4D""","=""7/2""",,
C,2,"=""3060.71""","=""2.5e+07""","=""6.9e-02""",C,"=""24.657857""","=""28.70869""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).5f""","=""4D""","=""3/2""",,
C,2,"=""3078.727""","=""5.5e+04""","=""1.04e-04""",C+,"=""24.271876""","=""28.299002""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4D""","=""7/2""",,
C,2,"=""3080.611""","=""1.08e+06""","=""1.54e-03""",B,"=""24.274339""","=""28.299002""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).5p""","=""4D""","=""7/2""",,
C,2,"=""3080.80""","=""1.01e+05""","=""2.2e-04""",C+,"=""24.270232""","=""28.29464""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4D""","=""5/2""",,
C,2,"=""3082.06""","=""1.85e+06""","=""2.63e-03""",B,"=""24.271876""","=""28.29464""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4D""","=""5/2""",,
C,2,"=""3082.68""","=""2.13e+06""","=""3.03e-03""",B,"=""24.270232""","=""28.29219""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4D""","=""3/2""",,
C,2,"=""3083.258""","=""9.42e+06""","=""1.07e-02""",B,"=""24.277795""","=""28.299002""","=""2s.2p.(3P*).3d""","=""4F*""","=""9/2""","=""2s.2p.(3P*).5p""","=""4D""","=""7/2""",,
